Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
BEDFORD DOWNTOWN BEVERAGE,796 BROADWAY AVE,BEDFORD,44146,"$68,382.00","$125,009.00","$193,391.00"
EUCLID MARATHON,470 E 200TH ST,CLEVELAND,44119,"$99,770.00","$93,562.00","$193,332.00"
CONVENIENT FOOD MART 3-107,4695 ROCKY RIVER DR,CLEVELAND,44135,"$90,220.00","$102,381.00","$192,601.00"
VALERO GAS,827 FRONT ST,BEREA,44017,"$100,969.00","$91,391.00","$192,360.00"
"BOOKLEIN BOOKS & NEWS, INC ",1228 EUCLID AVE,CLEVELAND,44115,"$74,516.00","$117,796.00","$192,312.00"
KEY LIQUOR & BEVERAGE,6542 BROADWAY AVE,CLEVELAND,44105,"$55,127.00","$136,902.00","$192,029.00"
SPEEDY GAS,6207 BROADWAY AVE,CLEVELAND,44127,"$60,800.00","$131,208.50","$192,008.50"
THE SIDE BAR,105 W ST CLAIR AVE,CLEVELAND,44113,"$25,750.00","$166,202.50","$191,952.50"
PICK & SAVE,3062 E 116TH ST,CLEVELAND,44120,"$55,339.00","$136,473.50","$191,812.50"
SIMONES BEVERAGE,18414 DETROIT AVE,LAKEWOOD,44107,"$65,972.00","$125,487.50","$191,459.50"
MR C'S FOOD MART AND LIQUOR,12615 SHAW AVE,CLEVELAND,44108,"$41,599.00","$149,588.50","$191,187.50"
TOBACCO COMPANY,23146 LORAIN RD,NORTH OLMSTED,44070,"$102,318.00","$88,825.50","$191,143.50"
TRUE NORTH #362,1145 CROCKER RD,WESTLAKE,44145,"$120,150.00","$70,918.00","$191,068.00"
AVI FOOD SYSTEMS,2060 E 9TH ST,CLEVELAND,44115,"$89,490.00","$101,166.50","$190,656.50"
DISCOUNT DRUG MART #15,17815 PURITAS AVE,CLEVELAND,44135,"$112,762.00","$77,657.50","$190,419.50"
RJ' S BEVERAGE,14801 PURITAS AVE,CLEVELAND,44135,"$107,361.00","$82,474.00","$189,835.00"
ROYAL DONUT,5759 STATE RD,PARMA,44134,"$156,750.00","$32,876.50","$189,626.50"
